Название фото,Адрес
DSC02137,"Кронверкский пр-кт, 13/2"
DSC02143,"Крестьянский переулок, 13/2"
DSC02147,"Крестьянский переулок, 4А"
DSC02151,"Малая Посадская улица, 10"
DSC02152,"Малая Посадская улица, 8"
DSC02158,"Малая Посадская улица, 14"
DSC02161,"Малая Посадская улица, 18 А, корп. 1"
DSC02168,"Мичуринская улица, 21/11"
DSC02172,"Мичуринская улица, 13В"
DSC02173,"Мичуринская улица, 11/18"
DSC02178,"улица Куйбышева, 7"
DSC02179,"улица Куйбышева, 5"
DSC02184,"улица Куйбышева, 14"
DSC02186,"улица Куйбышева, 11/9"
DSC02193,"улица Куйбышева, 19"
DSC02197,"улица Куйбышева, 23"
DSC02201,"улица Куйбышева, 25"
DSC02208,"улица Куйбышева, 29"
DSC02209,"улица Куйбышева, 31"
DSC02210,"улица Куйбышева, 38-40"
DSC02215,"Петроградская набережная, 18"
DSC02216,"Малая Посадская улица, 25/4"
DSC02223,"Малая Посадская улица, 23"
DSC02225,"Малая Посадская улица, 21"
DSC02229,"Малая Посадская улица, 17"
DSC02231,"Малая Посадская улица, 15А"
DSC02250,улица Котовского 1/10 лит. А
DSC02251,"улица Чапаева, 11/4"
DSC02257,"улица Чапаева, 7"
DSC02261,"улица Чапаева, 5"
DSC02263,"улица Чапаева, 15"
DSC02272,"Петроградская набережная, 26-28"
DSC02278,"Петроградская набережная, 26-28Ч"
DSC02282,"Петроградская набережная, 32"
DSC02291,улица Котовского 3/12
DSC02297,улица Котовского 5/14 лит. А
DSC02304,"улица Мира, 35"
DSC02305,"улица Мира, 31"
DSC02309,"улица Мира, 25"
DSC02312,"улица Мира, 23"
DSC02314,"улица Мира, 21"
