building_name,num_tiles,coating_deterioration_mean,cracks_mean,masonry_degradation_mean,moisture_bio_damage_mean,vandalism_mean,coating_deterioration_max,cracks_max,masonry_degradation_max,moisture_bio_damage_max,vandalism_max,coating_deterioration_prevalence,cracks_prevalence,masonry_degradation_prevalence,moisture_bio_damage_prevalence,vandalism_prevalence
62,12,0.09,0.0,0.0,0.0,0.0,0.26,0.01,0.01,0.01,0.0,0.67,0.25,0.08,0.0,0.0
DSC02333,24,0.0,0.0,0.0,0.01,0.0,0.03,0.0,0.0,0.07,0.0,0.04,0.0,0.0,0.21,0.0
IMG_20260320_154256,30,0.0,0.0,0.0,0.06,0.0,0.04,0.0,0.01,0.36,0.0,0.07,0.0,0.03,0.57,0.0
DSC02315,24,0.03,0.0,0.01,0.03,0.0,0.23,0.03,0.15,0.11,0.01,0.42,0.08,0.08,0.5,0.0
DSC02470,24,0.01,0.0,0.0,0.01,0.0,0.05,0.01,0.0,0.12,0.0,0.25,0.0,0.0,0.08,0.0
IMG_20260318_131235096_HDR,20,0.04,0.0,0.0,0.05,0.0,0.27,0.01,0.0,0.29,0.0,0.7,0.0,0.0,0.35,0.0
44,12,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0
IMG_20260317_113656168_HDR,30,0.07,0.01,0.0,0.0,0.0,0.26,0.02,0.01,0.03,0.0,0.77,0.27,0.0,0.07,0.0
DSC02466,24,0.04,0.0,0.0,0.03,0.0,0.19,0.0,0.04,0.14,0.0,0.54,0.0,0.04,0.46,0.0
DSC02438,24,0.0,0.0,0.0,0.03,0.0,0.02,0.0,0.0,0.13,0.0,0.04,0.0,0.0,0.58,0.0
31,12,0.06,0.0,0.0,0.08,0.0,0.27,0.0,0.0,0.24,0.0,0.5,0.0,0.0,0.58,0.0
2026-04-02 17-26-12,36,0.01,0.0,0.0,0.02,0.0,0.08,0.02,0.1,0.2,0.02,0.17,0.03,0.11,0.22,0.06
DSC02216,24,0.02,0.0,0.01,0.17,0.0,0.16,0.0,0.06,0.64,0.06,0.33,0.0,0.12,0.67,0.08
DSC02278,24,0.02,0.0,0.0,0.01,0.0,0.25,0.04,0.0,0.07,0.01,0.25,0.12,0.0,0.12,0.04
IMG_20260315_150549079_HDR,30,0.01,0.0,0.0,0.03,0.0,0.05,0.03,0.03,0.26,0.0,0.23,0.03,0.03,0.3,0.0
IMG_20260320_153217,30,0.03,0.0,0.0,0.03,0.0,0.17,0.02,0.0,0.15,0.01,0.57,0.13,0.0,0.47,0.03
DSC02253,24,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.01,0.0,0.17,0.0,0.0,0.04,0.0
66,9,0.05,0.0,0.0,0.01,0.0,0.19,0.0,0.0,0.04,0.01,0.67,0.0,0.0,0.22,0.0
DSC02420,42,0.01,0.0,0.0,0.0,0.0,0.09,0.02,0.02,0.04,0.02,0.1,0.14,0.02,0.07,0.05
DSC02369,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.01,0.0,0.0,0.12,0.08,0.0
DSC02171,24,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.03,0.07,0.0,0.0,0.0,0.08,0.17
60,12,0.02,0.0,0.0,0.03,0.0,0.13,0.01,0.0,0.19,0.0,0.25,0.08,0.0,0.25,0.0
1000032462,24,0.02,0.01,0.0,0.0,0.0,0.15,0.04,0.04,0.03,0.01,0.33,0.21,0.12,0.12,0.0
Маяковского 22 24,30,0.03,0.0,0.0,0.02,0.0,0.22,0.03,0.04,0.13,0.0,0.5,0.03,0.03,0.17,0.0
DSC02309,24,0.03,0.0,0.0,0.11,0.0,0.17,0.01,0.01,0.27,0.03,0.46,0.0,0.0,0.71,0.04
DSC02189,24,0.0,0.0,0.0,0.01,0.0,0.04,0.01,0.0,0.06,0.0,0.04,0.0,0.0,0.21,0.0
DSC02364,24,0.0,0.01,0.0,0.01,0.0,0.03,0.06,0.0,0.1,0.0,0.08,0.25,0.0,0.42,0.0
IMG_20260320_153746,30,0.03,0.0,0.0,0.01,0.0,0.2,0.01,0.01,0.09,0.01,0.67,0.0,0.03,0.23,0.0
DSC02356,42,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.01,0.03,0.01,0.1,0.14,0.02,0.02,0.02
IMG_20260318_075658475_HDR,28,0.03,0.0,0.0,0.01,0.0,0.14,0.02,0.0,0.04,0.03,0.36,0.14,0.0,0.25,0.14
улица Восстания 25,30,0.02,0.0,0.0,0.01,0.0,0.15,0.03,0.01,0.1,0.0,0.37,0.1,0.0,0.33,0.0
DSC02143,42,0.02,0.0,0.0,0.01,0.0,0.18,0.01,0.0,0.07,0.01,0.29,0.0,0.0,0.17,0.02
9,12,0.08,0.0,0.01,0.02,0.03,0.31,0.01,0.07,0.06,0.12,0.67,0.0,0.17,0.5,0.25
DSC02391,24,0.01,0.0,0.0,0.01,0.0,0.06,0.0,0.01,0.1,0.02,0.12,0.0,0.0,0.25,0.04
DSC02270,24,0.01,0.0,0.0,0.0,0.0,0.07,0.01,0.0,0.0,0.0,0.21,0.08,0.0,0.0,0.0
IMG_20260318_115602,24,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.08,0.01,0.0,0.04,0.0,0.04,0.04,0.0
DSC02416,18,0.05,0.0,0.0,0.03,0.0,0.17,0.03,0.04,0.19,0.01,0.61,0.11,0.06,0.33,0.0
32,12,0.09,0.0,0.0,0.24,0.0,0.28,0.0,0.02,0.64,0.0,0.92,0.0,0.08,0.75,0.0
DSC02314,24,0.01,0.0,0.0,0.04,0.0,0.12,0.0,0.0,0.22,0.03,0.08,0.0,0.0,0.62,0.17
77,9,0.19,0.0,0.0,0.02,0.0,0.52,0.0,0.0,0.07,0.0,0.67,0.0,0.0,0.22,0.0
DSC02244,24,0.01,0.0,0.0,0.01,0.0,0.06,0.01,0.0,0.06,0.0,0.25,0.0,0.0,0.25,0.0
57,12,0.04,0.0,0.0,0.0,0.0,0.17,0.01,0.0,0.02,0.01,0.58,0.0,0.0,0.17,0.0
DSC02476,20,0.11,0.0,0.0,0.04,0.0,0.38,0.0,0.02,0.22,0.0,0.85,0.0,0.15,0.5,0.0
DSC02193,36,0.01,0.0,0.0,0.01,0.0,0.11,0.04,0.0,0.06,0.02,0.11,0.08,0.0,0.28,0.03
DSC02168,42,0.02,0.0,0.0,0.01,0.0,0.11,0.01,0.0,0.12,0.02,0.4,0.0,0.0,0.19,0.05
