building_name,num_tiles,coating_deterioration_mean,coating_deterioration_max,coating_deterioration_prevalence,coating_deterioration_std,coating_deterioration_q75,coating_deterioration_skewness,coating_deterioration_concentration,coating_deterioration_severity_coverage,cracks_mean,cracks_max,cracks_prevalence,cracks_std,cracks_q75,cracks_skewness,cracks_concentration,cracks_severity_coverage,masonry_degradation_mean,masonry_degradation_max,masonry_degradation_prevalence,masonry_degradation_std,masonry_degradation_q75,masonry_degradation_skewness,masonry_degradation_concentration,masonry_degradation_severity_coverage,moisture_bio_damage_mean,moisture_bio_damage_max,moisture_bio_damage_prevalence,moisture_bio_damage_std,moisture_bio_damage_q75,moisture_bio_damage_skewness,moisture_bio_damage_concentration,moisture_bio_damage_severity_coverage,vandalism_mean,vandalism_max,vandalism_prevalence,vandalism_std,vandalism_q75,vandalism_skewness,vandalism_concentration,vandalism_severity_coverage
DSC02518,24,0.0063,0.0357,0.0,0.0092,0.0086,1.8683,5.6975,0.0,0.0002,0.0022,0.0,0.0005,0.0,3.0543,12.5883,0.0,0.0023,0.0202,0.0,0.0045,0.0024,2.7746,8.7897,0.0,0.0613,0.3428,0.25,0.1047,0.0475,1.6541,5.5882,0.0857,0.0011,0.0133,0.0,0.0029,0.0001,3.3036,12.4639,0.0
2026-04-09 17-36-25,12,0.0161,0.0548,0.1667,0.0187,0.0226,1.0639,3.4077,0.0091,0.0001,0.0009,0.0,0.0003,0.0001,2.0321,6.5402,0.0,0.0007,0.004,0.0,0.0013,0.0004,1.8382,6.0485,0.0,0.0108,0.0569,0.0833,0.017,0.0115,1.6986,5.2847,0.0047,0.0001,0.0004,0.0,0.0001,0.0,2.0781,7.4315,0.0
IMG_20260410_142531328_HDR 2,12,0.0347,0.123,0.4167,0.0375,0.057,0.9944,3.5482,0.0513,0.0004,0.0023,0.0,0.0007,0.0004,1.7256,5.8227,0.0,0.0024,0.0119,0.0,0.0041,0.0021,1.6704,5.0439,0.0,0.0153,0.0687,0.0833,0.0208,0.0199,1.5215,4.4841,0.0057,0.0034,0.0185,0.0,0.0064,0.0019,1.6938,5.4341,0.0
62,12,0.079,0.2156,0.5,0.0775,0.1309,0.4853,2.7305,0.1078,0.0041,0.0161,0.0,0.0053,0.0067,1.0384,3.9297,0.0,0.0031,0.0265,0.0,0.0072,0.0024,2.8635,8.6074,0.0,0.001,0.0081,0.0,0.0023,0.0003,2.4392,8.0153,0.0,0.0023,0.0234,0.0,0.0065,0.0,2.8874,10.3247,0.0
DSC02333,24,0.0021,0.0211,0.0,0.0047,0.0011,2.9449,9.9065,0.0,0.0002,0.0019,0.0,0.0005,0.0001,2.8136,9.3635,0.0,0.0006,0.0048,0.0,0.0011,0.0007,2.6841,8.6698,0.0,0.0175,0.1444,0.0833,0.0376,0.0128,2.6647,8.2543,0.012,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
IMG_20260320_154256,30,0.0033,0.0254,0.0,0.0068,0.0018,2.1967,7.648,0.0,0.0,0.0007,0.0,0.0001,0.0,4.5039,21.6117,0.0,0.0007,0.0117,0.0,0.0022,0.0003,4.397,16.6815,0.0,0.0247,0.0949,0.2667,0.0295,0.0449,0.9611,3.8465,0.0253,0.0003,0.0076,0.0,0.0014,0.0,4.8515,22.2785,0.0
DSC02315,24,0.0308,0.2552,0.1667,0.0561,0.0231,2.8561,8.2765,0.0425,0.0026,0.0256,0.0,0.0058,0.0016,2.8157,9.8892,0.0,0.0082,0.1358,0.0417,0.0279,0.0014,4.0309,16.4881,0.0057,0.0528,0.1606,0.4167,0.0537,0.1037,0.5278,3.0402,0.0669,0.0001,0.0017,0.0,0.0003,0.0,4.5873,23.6625,0.0
DSC02470,24,0.0103,0.0651,0.0417,0.0182,0.0055,1.8268,6.3434,0.0027,0.0007,0.0088,0.0,0.0019,0.0001,3.3938,12.7862,0.0,0.0002,0.003,0.0,0.0006,0.0002,3.4783,11.9327,0.0,0.0039,0.0901,0.0417,0.018,0.0001,4.5863,23.3769,0.0038,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
DSC02547,42,0.0069,0.0353,0.0,0.0086,0.0118,1.4864,5.1401,0.0,0.0006,0.0046,0.0,0.0012,0.0005,1.9549,7.1837,0.0,0.0008,0.022,0.0,0.0034,0.0,5.8129,28.6588,0.0,0.011,0.0815,0.0714,0.0204,0.0109,2.0536,7.4107,0.0058,0.0016,0.0192,0.0,0.0043,0.0,2.8986,12.1983,0.0
IMG_20260318_131235096_HDR,20,0.0758,0.2913,0.45,0.0761,0.1353,1.3004,3.8431,0.1311,0.0015,0.0088,0.0,0.0024,0.0015,1.7841,6.067,0.0,0.0004,0.0034,0.0,0.0009,0.0003,2.1235,7.6708,0.0,0.0223,0.1719,0.15,0.0389,0.0249,2.8546,7.709,0.0258,0.0003,0.0055,0.0,0.0012,0.0,4.1295,19.9274,0.0
