building_name,num_tiles,coating_deterioration_mean,cracks_mean,masonry_degradation_mean,moisture_bio_damage_mean,vandalism_mean,coating_deterioration_max,cracks_max,masonry_degradation_max,moisture_bio_damage_max,vandalism_max,coating_deterioration_prevalence,cracks_prevalence,masonry_degradation_prevalence,moisture_bio_damage_prevalence,vandalism_prevalence
DSC02518,24,0.0,0.0,0.0,0.05,0.0,0.03,0.0,0.01,0.26,0.01,0.08,0.0,0.0,0.38,0.04
2026-04-09 17-36-25,12,0.01,0.0,0.0,0.01,0.0,0.03,0.0,0.0,0.04,0.0,0.33,0.0,0.0,0.25,0.0
IMG_20260410_142531328_HDR 2,12,0.02,0.0,0.0,0.01,0.0,0.09,0.0,0.01,0.05,0.02,0.5,0.0,0.0,0.25,0.17
62,12,0.06,0.0,0.0,0.0,0.0,0.18,0.01,0.02,0.01,0.02,0.67,0.08,0.08,0.0,0.08
DSC02333,24,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.12,0.0,0.04,0.0,0.0,0.17,0.0
IMG_20260320_154256,30,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.01,0.05,0.01,0.1,0.0,0.0,0.37,0.0
DSC02315,24,0.02,0.0,0.01,0.04,0.0,0.23,0.02,0.12,0.12,0.0,0.38,0.04,0.08,0.5,0.0
DSC02470,24,0.01,0.0,0.0,0.0,0.0,0.05,0.01,0.0,0.07,0.0,0.21,0.0,0.0,0.04,0.0
DSC02547,42,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.01,0.05,0.01,0.19,0.0,0.0,0.21,0.02
IMG_20260318_131235096_HDR,20,0.06,0.0,0.0,0.02,0.0,0.28,0.01,0.0,0.15,0.0,0.8,0.0,0.0,0.35,0.0
44,12,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.0,0.0,0.0,0.08,0.08,0.0,0.0,0.0
IMG_20260410_141549751_HDR,20,0.09,0.0,0.01,0.03,0.0,0.46,0.05,0.08,0.2,0.0,0.7,0.05,0.05,0.4,0.0
IMG_20260317_113656168_HDR,30,0.06,0.01,0.0,0.0,0.0,0.31,0.04,0.0,0.01,0.0,0.6,0.3,0.0,0.0,0.0
DSC02466,24,0.04,0.0,0.0,0.03,0.0,0.15,0.0,0.05,0.15,0.0,0.58,0.0,0.12,0.38,0.0
