image_a,image_b,winner
56,1000032464,0
41,DSC02449,0
DSC02309,DSC02182,0
71,39,1
DSC02210,IMG_20260318_075635475_HDR,0
DSC02485,DSC02244,1
55,1000032464,0
DSC02287,DSC02380,1
DSC02459,DSC02244,1
DSC02251,20,1
58,DSC02216,1
IMG_20260319_121325656_HDR,Маяковского 22 24,0
DSC02171,41,1
DSC02399,DSC02174,1
27,IMG_20260320_154256,0
DSC02287,DSC02171,0
DSC02375,DSC02332,0
43,DSC02476,1
DSC02364,78,1
DSC02470,IMG_20260317_130000355_HDR,1
IMG_20260320_154600,79,1
DSC02259,DSC02333,0
78,DSC02485,0
DSC02489,IMG_20260319_121325656_HDR,1
44,1000032447,1
DSC02278,1000032450,0
77,DSC02223,0
80,1000032446,1
34,25,0
DSC02485,10,1
6,45,0
1,DSC02364,0
DSC02223,DSC02193,0
11,82,1
38,IMG_20260318_120547,0
77,DSC02380,0
80,DSC02323,2
7,1000032447,2
IMG_20260317_130518147_HDR,IMG_20260320_153217,0
DSC02278,DSC02143,0
IMG_20260317_130539386_HDR,IMG_20260320_160147,0
DSC02483,16,1
6,DSC02200,0
48,IMG_20260320_153217,1
IMG_20260320_154600,DSC02446,0
Маяковского 22 24,IMG_20260318_115219,0
76,DSC02193,1
63,DSC02189,0
DSC02438,1,1
IMG_20260318_115602,IMG_20260318_120547,1
IMG_20260320_160147,IMG_20260325_075617182_HDR,1
DSC02405,DSC02332,0
DSC02485,81,1
IMG_20260317_130539386_HDR,30,0
DSC02178,DSC02185,1
IMG_20260317_130000355_HDR,28,1
DSC02368,DSC02446,0
68,DSC02396,0
DSC02304,IMG_20260318_080042286_HDR,1
IMG_20260317_130000355_HDR,DSC02481,0
75,2,1
DSC02207,68,1
DSC02342,IMG_20260318_115602,0
1000032462,DSC02174,1
1,DSC02481,0
DSC02289,12,1
DSC02193,2026-04-02 17-25-39,1
20,IMG_20260320_160147,0
5,1000032449,0
DSC02332,1000019118,0
DSC02255,38,1
1,DSC02305,1
DSC02380,IMG_20260319_122144237_HDR,0
IMG_20260317_130539386_HDR,18,0
DSC02438,8,1
2026-04-02 17-26-12,65,1
60,DSC02287,0
49,DSC02466,1
DSC02335,47,0
82,DSC02393,0
IMG_20260320_153217,39,1
IMG_20260318_120547,DSC02483,0
77,DSC02438,0
DSC02309,DSC02470,0
40,DSC02438,0
70,DSC02404,0
35,1000019118,0
DSC02470,60,1
IMG_20260318_115219,6,1
7,DSC02189,0
45,DSC02483,0
56,34,1
70,DSC02210,1
53,IMG_20260317_130000355_HDR,0
DSC02200,IMG_20260317_113448622_HDR,1
62,IMG_20260315_150549079_HDR,0
DSC02333,79,1
14,DSC02369,0
IMG_20260318_115219,19,1
42,77,1
DSC02171,21,1
DSC02420,41,1
53,DSC02356,0
18,48,1
57,31,1
82,DSC02342,0
DSC02309,43,0
DSC02422,DSC02388,0
37,IMG_20260318_120547,0
79,IMG_20260320_154256,0
78,59,0
5,65,1
22,DSC02453,0
DSC02485,82,1
DSC02416,44,0
IMG_20260320_153746,DSC02432,0
DSC02438,22,1
2026-04-02 17-25-18,DSC02207,0
IMG_20260318_131235096_HDR,DSC02251,1
IMG_20260317_130539386_HDR,DSC02393,0
DSC02271,DSC02140,0
5,DSC02182,0
35,51,0
27,80,0
26,DSC02450,0
DSC02255,33,1
8,53,0
IMG_20260318_131235096_HDR,62,1
68,DSC02391,1
DSC02359,IMG_20260317_130518147_HDR,1
IMG_20260318_120547,DSC02174,1
72,DSC02396,2
IMG_20260318_075635475_HDR,IMG_20260318_120547,0
DSC02466,4,1
DSC02253,DSC02372,0
10,DSC02464,0
1000019118,13,0
DSC02270,улица Жуковского 49,1
IMG_20260320_154600,50,1
10,DSC02391,1
13,82,1
16,DSC02304,0
IMG_20260315_150549079_HDR,1,1
14,40,0
DSC02399,IMG_20260317_113656168_HDR,1
DSC02185,15,0
54,улица Жуковского 49,1
IMG_20260318_115602,76,1
DSC02305,DSC02405,0
IMG_20260318_080042286_HDR,IMG_20260319_121325656_HDR,1
DSC02226,59,1
5,DSC02476,1
DSC02359,DSC02438,0
7,1000032450,0
DSC02304,12,1
IMG_20260318_120547,DSC02438,0
DSC02211,DSC02380,1
DSC02187,IMG_20260320_153746,1
Маяковского 22 24,DSC02396,0
11,50,1
DSC02416,29,0
DSC02428,41,1
DSC02416,2026-04-02 17-26-12,0
1000019118,11,0
DSC02193,71,1
DSC02483,8,1
15,17,1
DSC02372,DSC02178,1
54,IMG_20260318_120547,1
18,IMG_20260320_155443,1
49,DSC02189,0
DSC02189,DSC02283,1
31,DSC02485,0
DSC02356,IMG_20260320_151341,1
69,52,0
71,DSC02359,0
DSC02356,DSC02380,1
DSC02416,DSC02438,0
DSC02388,33,1
DSC02489,DSC02289,0
DSC02187,DSC02393,1
1000032447,44,0
DSC02483,2,1
1,DSC02453,0
DSC02314,DSC02140,0
DSC02250,1000032449,0
1,DSC02143,0
DSC02259,55,0
15,60,1
DSC02380,DSC02305,0
IMG_20260319_122144237_HDR,DSC02216,1
DSC02359,3,1
DSC02422,44,0
48,58,1
DSC02200,40,1
DSC02270,3,1
19,DSC02168,0
IMG_20260318_075658475_HDR,DSC02223,1
DSC02152,DSC02489,1
13,62,1
DSC02253,5,1
DSC02323,48,1
DSC02399,DSC02259,1
15,22,1
DSC02459,5,1
DSC02207,DSC02332,1
DSC02297,DSC02428,0
17,44,0
DSC02312,DSC02438,0
DSC02483,DSC02432,1
77,DSC02481,0
IMG_20260320_154600,1000032450,0
3,15,0
DSC02314,DSC02464,0
11,27,1
37,26,0
IMG_20260318_075807376_HDR,54,0
1,IMG_20260318_120547,0
DSC02368,DSC02201,0
DSC02405,18,0
1000032464,21,1
34,39,1
DSC02359,DSC02253,0
DSC02438,IMG_20260318_075635475_HDR,1
DSC02453,DSC02297,1
DSC02391,DSC02171,0
DSC02193,1000032464,0
22,IMG_20260318_115602,0
1000019118,13,0
10,DSC02253,0
IMG_20260318_132225974_HDR,DSC02226,0
IMG_20260317_130518147_HDR,DSC02210,1
55,4,1
DSC02255,DSC02369,0
IMG_20260319_121325656_HDR,IMG_20260320_160147,0
1000032447,DSC02393,0
IMG_20260317_113335801_HDR,улица Жуковского 49,0
DSC02489,DSC02216,1
61,DSC02182,0
DSC02140,81,1
IMG_20260318_080042286_HDR,DSC02137,0
4,DSC02364,0
DSC02283,DSC02304,0
IMG_20260318_075658475_HDR,DSC02388,0
44,45,1
49,27,1
DSC02438,DSC02372,0
DSC02201,48,1
