image_a,image_b,winner
DSC02453,58,1
DSC02483,40,1
10,DSC02270,0
DSC02143,IMG_20260320_151341,1
IMG_20260319_121325656_HDR,DSC02287,0
DSC02287,1,1
DSC02187,DSC02259,1
6,50,0
DSC02211,81,1
DSC02250,19,1
DSC02380,IMG_20260320_160147,0
IMG_20260320_081159910_HDR,68,1
27,DSC02244,0
IMG_20260318_075807376_HDR,60,0
DSC02289,64,1
IMG_20260320_160147,2026-04-02 17-25-39,1
51,4,1
78,DSC02253,0
75,DSC02464,1
1000032447,DSC02388,0
82,49,0
47,DSC02466,1
DSC02182,улица Восстания 25,1
71,DSC02259,1
71,19,1
DSC02226,18,1
59,DSC02137,0
3,DSC02223,0
34,2026-04-02 17-25-18,0
Маяковского 22 24,IMG_20260318_120221,0
63,14,1
DSC02428,IMG_20260320_154600,1
DSC02483,DSC02375,1
49,14,1
38,79,0
79,IMG_20260317_113448622_HDR,1
DSC02250,DSC02405,1
DSC02244,DSC02446,2
DSC02335,DSC02211,0
IMG_20260320_154256,11,1
53,2026-04-02 17-25-18,1
1000032464,63,1
51,DSC02388,0
IMG_20260317_113448622_HDR,DSC02342,0
40,DSC02446,0
DSC02416,1000032462,0
28,IMG_20260318_120547,0
DSC02404,DSC02182,0
IMG_20260318_131740050_HDR,DSC02335,1
DSC02304,IMG_20260325_075617182_HDR,1
DSC02289,DSC02137,1
DSC02289,DSC02416,1
DSC02438,50,1
DSC02396,Маяковского 22 24,1
DSC02388,DSC02446,2
IMG_20260317_113335801_HDR,DSC02481,0
48,7,1
16,DSC02405,0
28,DSC02171,0
47,IMG_20260318_075807376_HDR,1
DSC02278,IMG_20260317_113448622_HDR,1
DSC02216,47,1
DSC02315,62,0
IMG_20260320_154755,DSC02315,1
DSC02137,IMG_20260317_130000355_HDR,1
68,IMG_20260319_122144237_HDR,0
2026-04-02 17-25-18,DSC02174,1
DSC02388,DSC02459,1
81,DSC02405,0
DSC02335,DSC02375,0
22,DSC02168,0
DSC02372,DSC02388,2
17,DSC02304,0
DSC02171,IMG_20260318_115602,2
42,52,1
IMG_20260320_081159910_HDR,51,1
1,39,1
1000032464,22,1
DSC02470,1000032450,0
IMG_20260320_154755,5,0
DSC02489,76,0
58,IMG_20260320_153217,0
47,DSC02466,1
18,31,1
DSC02200,63,1
39,DSC02175,0
37,DSC02356,0
DSC02305,DSC02297,0
DSC02244,DSC02391,1
79,IMG_20260317_113415094_HDR,0
14,DSC02178,0
64,DSC02226,0
1000032446,DSC02489,0
79,DSC02466,1
82,11,0
DSC02446,5,1
IMG_20260315_150549079_HDR,DSC02335,1
DSC02446,59,1
DSC02168,16,0
31,20,0
IMG_20260318_115219,IMG_20260317_113656168_HDR,1
DSC02368,3,1
25,35,1
