image_a,image_b,winner
DSC02449,42,0
22,7,1
DSC02305,DSC02333,0
51,улица Жуковского 49,1
34,DSC02368,1
IMG_20260318_131235096_HDR,IMG_20260320_153217,1
DSC02182,DSC02312,1
IMG_20260318_080042286_HDR,DSC02359,0
IMG_20260318_115602,8,2
DSC02464,IMG_20260317_113448622_HDR,0
IMG_20260319_122144237_HDR,56,1
DSC02314,DSC02323,2
IMG_20260320_151341,DSC02391,1
6,улица Восстания 25,1
DSC02312,IMG_20260320_154755,0
1000032464,DSC02459,0
IMG_20260320_151341,DSC02450,0
25,DSC02476,1
DSC02393,14,1
DSC02175,DSC02404,1
47,IMG_20260320_153217,1
40,IMG_20260325_075617182_HDR,1
IMG_20260317_113656168_HDR,23,0
DSC02171,улица Восстания 25,1
DSC02476,DSC02140,0
37,63,1
IMG_20260318_075807376_HDR,19,0
IMG_20260317_130539386_HDR,IMG_20260317_113656168_HDR,0
34,22,1
DSC02189,DSC02470,0
58,55,1
DSC02332,DSC02250,0
DSC02323,30,1
DSC02189,DSC02315,1
48,1000032449,0
DSC02182,IMG_20260317_130000355_HDR,1
42,DSC02278,1
DSC02446,DSC02312,1
10,IMG_20260317_113448622_HDR,1
77,DSC02187,1
2026-04-02 17-25-39,DSC02305,1
67,79,0
DSC02450,8,1
IMG_20260318_075807376_HDR,IMG_20260320_151341,0
DSC02251,IMG_20260317_113335801_HDR,1
3,IMG_20260320_153746,1
46,DSC02335,0
9,80,0
DSC02305,DSC02428,1
DSC02185,23,0
1000032464,DSC02305,0
32,48,1
