image_a,image_b,winner
DSC02210,DSC02335,0
DSC02314,DSC02210,1
DSC02375,IMG_20260318_075635475_HDR,1
DSC02210,DSC02314,0
IMG_20260318_075635475_HDR,DSC02405,0
DSC02314,IMG_20260318_080042286_HDR,1
DSC02259,DSC02476,0
69,DSC02368,1
IMG_20260319_121325656_HDR,9,1
DSC02297,IMG_20260319_122144237_HDR,0
DSC02359,DSC02404,1
IMG_20260317_113335801_HDR,IMG_20260320_154256,0
DSC02375,DSC02297,0
69,4,1
IMG_20260317_130539386_HDR,DSC02476,0
69,DSC02259,1
DSC02297,IMG_20260319_122144237_HDR,0
IMG_20260318_115219,69,1
DSC02404,DSC02210,1
82,IMG_20260319_121325656_HDR,1
9,DSC02216,0
IMG_20260318_075635475_HDR,DSC02315,0
DSC02476,DSC02259,1
DSC02210,DSC02297,0
IMG_20260319_122144237_HDR,2,1
IMG_20260319_121325656_HDR,DSC02297,0
DSC02476,DSC02368,1
DSC02297,DSC02335,0
69,IMG_20260319_122144237_HDR,0
DSC02359,9,1
2,9,1
14,DSC02380,1
DSC02314,14,1
DSC02314,DSC02380,1
IMG_20260319_122144237_HDR,DSC02449,0
IMG_20260318_115219,DSC02259,1
IMG_20260317_113335801_HDR,DSC02315,0
DSC02259,DSC02359,0
DSC02405,IMG_20260317_113335801_HDR,1
DSC02259,IMG_20260317_130539386_HDR,0
14,DSC02476,0
DSC02216,DSC02476,0
DSC02369,DSC02315,1
DSC02399,DSC02405,2
IMG_20260320_154256,IMG_20260317_130539386_HDR,1
IMG_20260320_154256,DSC02368,1
DSC02449,9,1
IMG_20260320_154256,14,1
DSC02380,IMG_20260319_122144237_HDR,0
DSC02369,IMG_20260320_154256,2
82,DSC02449,0
DSC02315,IMG_20260319_122144237_HDR,0
DSC02476,DSC02359,2
DSC02368,DSC02359,0
DSC02315,78,0
DSC02314,DSC02368,1
IMG_20260319_122144237_HDR,IMG_20260318_115219,0
IMG_20260318_080042286_HDR,2,0
IMG_20260318_075635475_HDR,14,1
IMG_20260319_122144237_HDR,IMG_20260317_130539386_HDR,1
82,DSC02404,1
IMG_20260317_130539386_HDR,IMG_20260318_080042286_HDR,0
82,DSC02368,0
DSC02297,IMG_20260319_122144237_HDR,0
DSC02404,9,1
DSC02315,DSC02216,0
2,IMG_20260318_080042286_HDR,1
IMG_20260319_121325656_HDR,DSC02405,0
DSC02476,IMG_20260318_075635475_HDR,1
DSC02449,DSC02314,2
DSC02335,14,1
DSC02476,DSC02216,1
DSC02405,4,1
DSC02375,IMG_20260317_113335801_HDR,1
DSC02449,2,2
IMG_20260317_130539386_HDR,DSC02399,0
IMG_20260318_080042286_HDR,DSC02297,0
DSC02375,IMG_20260317_113335801_HDR,1
IMG_20260319_121325656_HDR,IMG_20260319_122144237_HDR,0
IMG_20260318_075635475_HDR,DSC02314,0
DSC02375,14,1
DSC02216,IMG_20260320_154256,0
4,IMG_20260317_130539386_HDR,0
DSC02259,DSC02216,0
IMG_20260318_075635475_HDR,DSC02399,0
IMG_20260319_121325656_HDR,DSC02449,0
IMG_20260320_154256,82,1
DSC02259,9,0
DSC02375,IMG_20260318_075635475_HDR,1
DSC02405,DSC02380,1
DSC02216,82,1
DSC02449,IMG_20260319_122144237_HDR,1
IMG_20260318_075635475_HDR,IMG_20260318_115219,0
IMG_20260317_130539386_HDR,IMG_20260318_080042286_HDR,0
IMG_20260318_080042286_HDR,4,1
IMG_20260319_121325656_HDR,DSC02315,1
IMG_20260319_121325656_HDR,DSC02259,1
IMG_20260319_122144237_HDR,IMG_20260318_080042286_HDR,1
DSC02297,9,1
78,DSC02404,1
DSC02315,IMG_20260317_130539386_HDR,0
DSC02476,IMG_20260319_121325656_HDR,1
IMG_20260318_080042286_HDR,DSC02399,0
IMG_20260317_113335801_HDR,82,0
DSC02297,14,1
DSC02259,DSC02405,0
DSC02399,DSC02315,1
IMG_20260319_121325656_HDR,DSC02399,0
2,DSC02476,0
DSC02368,DSC02335,0
