image_a,image_b,winner
IMG_20260320_155443,DSC02314,1
29,77,1
DSC02368,49,0
DSC02200,IMG_20260320_160147,0
64,IMG_20260319_122144237_HDR,1
2026-04-02 17-26-12,DSC02185,1
DSC02309,20,0
DSC02193,DSC02476,0
DSC02174,17,0
DSC02323,44,0
64,DSC02369,0
DSC02278,DSC02312,1
DSC02432,DSC02209,1
DSC02210,DSC02473,0
DSC02244,DSC02216,1
IMG_20260318_131235096_HDR,42,1
11,DSC02315,1
DSC02391,47,0
35,IMG_20260318_075807376_HDR,1
DSC02364,улица Жуковского 49,1
1000032447,DSC02483,0
улица Жуковского 49,4,0
IMG_20260318_075807376_HDR,1000032446,0
41,1000032447,0
улица Восстания 25,DSC02223,1
DSC02305,24,0
11,DSC02432,1
IMG_20260320_153746,1000032447,0
3,DSC02369,0
57,IMG_20260315_150549079_HDR,1
65,DSC02244,1
DSC02278,10,1
DSC02335,78,1
57,65,1
улица Жуковского 49,IMG_20260320_160147,0
IMG_20260318_075807376_HDR,2,0
34,55,1
39,9,0
DSC02314,DSC02476,0
35,31,1
2026-04-02 17-25-39,IMG_20260320_153217,1
DSC02432,1000032464,0
28,DSC02209,0
21,IMG_20260320_155443,1
61,DSC02140,0
35,IMG_20260318_132225974_HDR,1
IMG_20260320_154256,IMG_20260317_113448622_HDR,1
DSC02464,37,1
31,DSC02393,1
17,49,0
2026-04-02 17-25-39,IMG_20260318_075807376_HDR,1
DSC02332,DSC02485,0
IMG_20260320_153530,DSC02185,1
82,7,0
4,24,0
9,39,1
IMG_20260319_122144237_HDR,2026-04-02 17-25-18,1
34,4,0
35,DSC02380,1
1,улица Восстания 25,0
36,40,0
1000032447,IMG_20260318_132225974_HDR,1
41,DSC02178,0
IMG_20260317_130539386_HDR,30,1
24,DSC02174,1
IMG_20260320_154256,77,1
DSC02193,DSC02209,1
28,DSC02466,0
8,36,1
64,DSC02364,1
IMG_20260320_153217,55,1
1,DSC02416,0
DSC02304,DSC02171,0
8,21,1
DSC02393,10,0
77,DSC02416,0
DSC02140,DSC02315,1
DSC02342,DSC02140,0
IMG_20260318_132225974_HDR,24,0
IMG_20260320_151341,39,1
30,8,0
DSC02483,DSC02466,1
77,DSC02143,0
44,DSC02314,1
DSC02178,DSC02152,0
49,IMG_20260320_153217,1
40,38,0
DSC02174,45,0
30,77,0
DSC02438,DSC02391,0
47,DSC02283,1
IMG_20260320_151341,DSC02485,0
DSC02314,DSC02396,0
27,17,0
22,IMG_20260318_075807376_HDR,1
IMG_20260317_130518147_HDR,65,0
37,DSC02459,0
DSC02314,4,0
DSC02216,37,0
DSC02364,DSC02391,1
DSC02244,DSC02152,0
DSC02143,21,1
DSC02432,16,0
1000032464,3,1
DSC02171,27,1
77,DSC02140,0
21,2026-04-02 17-26-12,0
20,1,1
DSC02143,DSC02209,1
9,DSC02223,1
55,DSC02200,0
